symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
MMM,2023-08-31,111.5000,111.9200,97.7000,106.6700,106.6700,73381693,1.5000
MMM,2023-07-31,100.2000,113.1400,95.5700,111.5000,109.8524,78753003,0.0000
MMM,2023-06-30,93.4700,104.8900,92.3800,100.0900,98.6110,95076103,0.0000
MMM,2023-05-31,106.3400,106.8300,93.1900,93.3100,91.9312,67538743,1.5000
MMM,2023-04-28,105.1500,107.3000,101.0500,106.2200,103.0983,61832938,0.0000
MMM,2023-03-31,111.0400,112.3300,100.1575,105.1100,102.0210,90561276,0.0000
MMM,2023-02-28,114.5500,120.8500,106.7614,107.7400,104.5737,55810270,1.5000
MMM,2023-01-31,121.5200,129.9000,111.7600,115.0800,110.2218,76990932,0.0000
MMM,2022-12-30,127.3000,130.0200,117.8000,119.9200,114.8574,59161756,0.0000
MMM,2022-11-30,126.7700,133.9100,121.1200,125.9700,120.6520,52507707,1.4900
MMM,2022-10-31,111.6900,126.6700,107.0700,125.7900,119.0842,72890378,0.0000
MMM,2022-09-30,124.3000,126.5200,110.3900,110.5000,104.6093,239748874,0.0000
MMM,2022-08-31,142.1500,152.3000,123.0301,124.3500,117.7209,304628359,1.4900
MMM,2022-07-29,129.4100,145.7000,125.6000,143.2400,134.2265,67100466,0.0000
MMM,2022-06-30,149.3300,149.4900,127.2990,129.4100,121.2668,63798266,0.0000
MMM,2022-05-31,144.5100,154.6600,141.0000,149.2900,139.8958,61787866,1.4900
MMM,2022-04-29,149.6300,153.1000,142.8700,144.2200,133.7884,53629997,0.0000
MMM,2022-03-31,148.5800,153.2600,140.8300,148.8800,138.1113,82702137,0.0000
MMM,2022-02-28,165.5900,169.2500,139.7400,148.6500,137.8980,76132679,1.4900
MMM,2022-01-31,178.3200,181.7800,160.5371,166.0200,152.4830,62309642,0.0000
MMM,2021-12-31,172.5500,179.1800,169.1801,177.6300,163.1464,48251474,0.0000
MMM,2021-11-30,178.5300,186.3000,169.9400,170.0400,156.1753,47872133,1.4800
MMM,2021-10-29,176.2500,183.8200,173.7800,178.6800,162.7633,48241875,0.0000
MMM,2021-09-30,194.5500,195.6060,175.3700,175.4200,159.7937,67366254,0.0000
MMM,2021-08-31,199.0700,202.7700,192.7200,194.7400,177.3927,39822553,1.4800
MMM,2021-07-30,199.4500,203.2100,194.7600,197.9400,178.9436,46011957,0.0000
MMM,2021-06-30,204.9800,206.8063,191.5300,198.6300,179.5674,51268693,0.0000
MMM,2021-05-28,197.9900,208.9500,196.6600,203.0400,183.5541,37466515,1.4800
