symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
AI,2023-09-01,31.5900,31.7802,30.6600,31.2200,31.2200,6770962,0.0000
AI,2023-08-31,41.2800,44.9000,28.0000,31.0200,31.0200,309351681,0.0000
AI,2023-07-31,36.9400,43.7577,35.5700,42.0000,42.0000,424875884,0.0000
AI,2023-06-30,32.7600,48.8700,30.2600,36.4300,36.4300,787813638,0.0000
AI,2023-05-31,17.7400,44.0200,16.7900,40.0100,40.0100,592347621,0.0000
AI,2023-04-28,33.8200,34.6800,16.9100,17.8200,17.8200,495078093,0.0000
AI,2023-03-31,22.7900,33.5700,20.1600,33.5700,33.5700,478378984,0.0000
AI,2023-02-28,19.9800,30.9199,19.2000,22.5800,22.5800,620747154,0.0000
AI,2023-01-31,11.4300,21.3400,10.4750,19.8500,19.8500,135591457,0.0000
AI,2022-12-30,12.9300,14.1100,10.1600,11.1900,11.1900,48715571,0.0000
AI,2022-11-30,13.4100,14.9700,11.7100,13.0100,13.0100,25519812,0.0000
AI,2022-10-31,12.6000,13.8350,11.2900,13.1100,13.1100,27807609,0.0000
AI,2022-09-30,15.3500,15.8600,12.1400,12.5000,12.5000,56580909,0.0000
AI,2022-08-31,18.2500,23.5842,17.8500,18.0000,18.0000,35670145,0.0000
AI,2022-07-29,18.5200,21.4700,17.4200,18.4100,18.4100,40972791,0.0000
AI,2022-06-30,19.0400,21.5800,15.0701,18.2600,18.2600,99461858,0.0000
AI,2022-05-31,16.9900,20.0999,13.3700,18.9200,18.9200,59907139,0.0000
AI,2022-04-29,22.8600,24.6200,16.5500,16.9900,16.9900,35854132,0.0000
AI,2022-03-31,22.4600,26.4700,16.5850,22.7000,22.7000,92474667,0.0000
AI,2022-02-28,26.7200,27.6200,18.6600,22.4200,22.4200,56550402,0.0000
AI,2022-01-31,31.4900,32.3600,21.6700,26.3400,26.3400,65882075,0.0000
AI,2021-12-31,37.4000,38.1500,27.5200,31.2500,31.2500,125100966,0.0000
AI,2021-11-30,45.3600,53.8200,35.8000,36.9600,36.9600,68511897,0.0000
AI,2021-10-29,46.5400,48.3300,42.7000,45.1200,45.1200,33330960,0.0000
AI,2021-09-30,53.1050,55.5800,45.1100,46.3400,46.3400,82213315,0.0000
AI,2021-08-31,50.4500,52.6700,44.3500,51.5400,51.5400,46771736,0.0000
AI,2021-07-30,62.5900,64.5000,48.9500,50.3500,50.3500,48272217,0.0000
AI,2021-06-30,62.5000,76.8500,56.0300,62.5300,62.5300,113638031,0.0000
AI,2021-05-28,66.3400,66.3453,47.2200,61.7100,61.7100,44249986,0.0000
AI,2021-04-30,69.2500,73.7000,58.8001,66.2600,66.2600,77866096,0.0000
AI,2021-03-31,116.1900,121.8800,59.7500,65.9100,65.9100,126275439,0.0000
AI,2021-02-26,140.6900,176.9399,109.5000,112.4600,112.4600,51583406,0.0000
AI,2021-01-29,131.1400,160.4300,112.0500,139.6000,139.6000,71383597,0.0000
AIR,2023-09-01,61.9800,62.2600,61.3300,61.5100,61.5100,144170,0.0000
AIR,2023-08-31,59.6300,62.7874,57.9310,61.6000,61.6000,3009523,0.0000
AIR,2023-07-31,57.3800,63.8750,56.0000,59.8000,59.8000,4143919,0.0000
AIR,2023-06-30,50.3500,58.3600,50.0600,57.7600,57.7600,4189640,0.0000
AIR,2023-05-31,52.5900,54.4300,50.0800,50.1100,50.1100,2634183,0.0000
AIR,2023-04-28,54.6400,55.2720,51.2300,52.7800,52.7800,2862550,0.0000
AIR,2023-03-31,54.3000,56.8600,49.0600,54.5500,54.5500,6039439,0.0000
AIR,2023-02-28,51.5000,55.5000,50.1650,54.3900,54.3900,3632872,0.0000
AIR,2023-01-31,45.0900,51.4400,44.2100,51.4400,51.4400,4559248,0.0000
AIR,2022-12-30,46.7000,47.8150,41.1700,44.9000,44.9000,5013691,0.0000
AIR,2022-11-30,44.8600,46.8300,41.8524,46.5600,46.5600,3905292,0.0000
AIR,2022-10-31,36.6000,45.3000,36.0800,44.3200,44.3200,5511312,0.0000
AIR,2022-09-30,42.6600,43.9000,33.7500,35.8200,35.8200,7199538,0.0000
AIR,2022-08-31,44.5300,48.0800,42.7600,42.8800,42.8800,4491229,0.0000
AIR,2022-07-29,41.6600,45.1400,39.4850,44.5300,44.5300,5876229,0.0000
AIR,2022-06-30,48.3400,52.8300,39.1750,41.8400,41.8400,8040243,0.0000
AIR,2022-05-31,46.8700,49.6600,44.0500,48.2200,48.2200,5019769,0.0000
AIR,2022-04-29,48.5900,52.0000,46.3400,46.9800,46.9800,8719780,0.0000
AIR,2022-03-31,44.9000,51.2600,42.7400,48.4300,48.4300,9652852,0.0000
AIR,2022-02-28,40.2000,45.4100,39.1500,44.9400,44.9400,6016737,0.0000
AIR,2022-01-31,39.0000,42.9300,38.2400,40.2700,40.2700,7442473,0.0000
AIR,2021-12-31,33.6300,39.4600,31.8900,39.0300,39.0300,8028056,0.0000
AIR,2021-11-30,35.4500,39.6400,32.5100,32.6600,32.6600,4353813,0.0000
AIR,2021-10-29,32.9900,35.9100,32.3500,35.3700,35.3700,5234397,0.0000
AIR,2021-09-30,33.9900,34.5500,30.9000,32.4300,32.4300,6015944,0.0000
AIR,2021-08-31,35.9500,37.0075,31.6100,33.8500,33.8500,4540801,0.0000
AIR,2021-07-30,39.1900,39.2100,34.1400,35.7600,35.7600,5952983,0.0000
AIR,2021-06-30,42.0600,42.9700,37.6500,38.7500,38.7500,8418774,0.0000
AIR,2021-05-28,40.6700,41.8200,37.1500,41.7500,41.7500,5395417,0.0000
AIR,2021-04-30,41.8500,43.2900,37.9600,40.2400,40.2400,6296254,0.0000
AIR,2021-03-31,41.0300,45.4900,39.0400,41.6500,41.6500,7078192,0.0000
