symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
A,2023-07-31,120.0200,130.0000,115.6550,121.7700,121.7700,38313231,0.0000
A,2023-06-30,116.9700,123.1750,114.1600,120.2500,120.2500,51249306,0.2250
A,2023-05-31,136.0200,137.1600,113.2801,115.6700,115.4540,46200248,0.0000
A,2023-04-28,137.4200,141.4800,128.1100,135.4300,135.1771,27776452,0.2250
A,2023-03-31,138.5800,145.4350,128.2200,138.3400,137.8566,38086236,0.0000
A,2023-02-28,153.3100,157.3100,138.7200,141.9700,141.4740,23987443,0.0000
A,2023-01-31,151.9600,159.5900,143.0100,152.0800,151.5486,25394910,0.0000
A,2022-12-30,156.7300,160.2650,145.8800,149.6500,149.1271,25282580,0.2250
A,2022-11-30,139.5000,157.4400,130.6600,154.9800,154.2066,30724422,0.0000
A,2022-10-31,122.7300,139.3100,121.6800,138.3500,137.6596,27011517,0.2100
A,2022-09-30,127.6300,140.0000,120.6000,121.5500,120.7428,31677201,0.0000
A,2022-08-31,133.5100,149.0000,127.1550,128.2500,127.3983,32008351,0.0000
A,2022-07-29,118.7900,134.5000,113.0200,134.1000,133.2095,27261533,0.2100
A,2022-06-30,127.8600,131.2000,112.5200,118.7700,117.7738,35110239,0.0000
A,2022-05-31,118.3800,130.7700,112.6400,127.5600,126.4901,45545913,0.0000
A,2022-04-29,134.1800,137.0800,117.2400,119.2700,118.2696,43886365,0.2100
A,2022-03-31,130.8300,140.1997,126.9000,132.3300,131.0160,46185679,0.0000
A,2022-02-28,140.5300,145.1000,123.0600,130.3600,129.0656,42302498,0.0000
A,2022-01-31,159.0000,159.4400,131.2150,139.3200,137.9366,39870604,0.2100
A,2021-12-31,151.1200,162.6200,147.7200,159.6500,157.8529,33692805,0.0000
A,2021-11-30,157.3800,165.6800,149.7000,150.9000,149.2014,34250114,0.0000
A,2021-10-29,157.1500,159.9200,146.3000,157.4900,155.7172,28862915,0.1940
A,2021-09-30,175.0400,179.5700,157.4600,157.5300,155.5587,29921444,0.0000
A,2021-08-31,154.0500,177.1900,152.5200,175.4700,173.2742,36990536,0.0000
A,2021-07-30,147.7700,153.6000,146.9500,153.2300,151.3125,38944526,0.1940
A,2021-06-30,139.1700,148.8422,135.5700,147.8100,145.7703,38564154,0.0000
A,2021-05-28,134.2900,139.2100,127.1300,138.1300,136.2239,28548640,0.0000
A,2021-04-30,128.0000,137.8271,127.0050,133.6400,131.7958,33182697,0.1940
A,2021-03-31,123.0500,128.4750,112.4700,127.1400,125.1987,39710391,0.0000
A,2021-02-26,120.6900,136.9800,120.1800,122.0700,120.2061,33066479,0.0000
A,2021-01-29,118.9400,129.3400,117.1100,120.1700,118.3351,33128020,0.1940
A,2020-12-31,117.5800,120.2400,113.1600,118.4900,116.4903,35517412,0.0000
A,2020-11-30,103.5200,118.9600,103.2900,116.9000,114.9271,41212244,0.0000
A,2020-10-30,101.7700,107.6200,99.8127,102.0900,100.3671,22028078,0.1800
A,2020-09-30,100.9200,103.6600,94.7600,100.9400,99.0635,27416454,0.0000
A,2020-08-31,96.9400,101.0400,94.5252,100.4200,98.5532,27152407,0.0000
A,2020-07-31,88.8900,98.0900,87.3000,96.3300,94.5392,32369040,0.0000
A,2020-06-30,88.0400,93.0400,83.7100,88.3700,86.7272,37391144,0.1800
A,2020-05-29,75.5500,88.4900,73.4200,88.1400,86.3235,47802660,0.0000
A,2020-04-30,69.4700,80.3500,68.1400,76.6600,75.0801,44079920,0.0000
A,2020-03-31,77.3100,85.0000,61.1300,71.6200,70.1440,70836854,0.1800
A,2020-02-28,83.2900,86.0800,74.1700,77.0700,75.2951,43627930,0.0000
A,2020-01-31,85.9000,90.6400,82.3400,82.5600,80.6587,38841271,0.0000
A,2019-12-31,80.7800,85.6800,79.1700,85.3100,83.3454,33026192,0.1800
A,2019-11-29,76.5100,81.3400,74.9400,80.7700,78.7430,34223892,0.0000
A,2019-10-31,76.5000,76.8900,71.7300,75.7500,73.8490,35085430,0.0000
A,2019-09-30,70.7000,78.7400,69.4800,76.6300,74.7069,52482880,0.1640
A,2019-08-30,69.6300,72.7700,65.3500,71.1100,69.1774,56357323,0.0000
A,2019-07-31,75.6000,76.9300,68.1000,69.4100,67.5236,60674464,0.1640
A,2019-06-28,67.0400,74.7000,66.4100,74.6700,72.4837,40936826,0.0000
A,2019-05-31,78.4900,79.5600,66.0300,67.0500,65.0868,77267032,0.0000
A,2019-04-30,80.9600,82.2400,73.7600,78.5000,76.2016,41866611,0.1640
A,2019-03-29,80.0000,82.2700,77.4000,80.3800,77.8700,32806711,0.0000
A,2019-02-28,76.1600,79.8400,74.7600,79.4400,76.9593,35942031,0.0000
A,2019-01-31,66.5000,76.3100,62.0000,76.0500,73.6752,44194263,0.0000
A,2018-12-31,73.3300,75.1100,62.2200,67.4600,65.3534,50474161,0.1640
A,2018-11-30,65.0700,72.6500,62.4000,72.3500,69.9169,62405317,0.0000
A,2018-10-31,70.6800,72.3700,61.0100,64.7900,62.6111,65097879,0.1490
A,2018-09-28,67.3400,71.4600,66.7600,70.5400,68.0255,35878290,0.0000
A,2018-08-31,65.8400,68.1500,64.2200,67.5400,65.1325,56331929,0.0000
A,2018-07-31,61.3600,66.8300,60.7900,66.0400,63.6859,37940784,0.1490
A,2018-06-29,62.4700,66.7500,60.4200,61.8400,59.4914,65099595,0.0000
A,2018-05-31,65.6300,70.4500,60.7000,61.9200,59.5684,73190276,0.0000
A,2018-04-30,66.6500,70.2900,63.3800,65.7400,63.2433,54414061,0.1490
A,2018-03-29,68.4700,71.5300,65.8100,66.9000,64.2108,46187495,0.0000
A,2018-02-28,73.1800,74.9900,65.0300,68.5900,65.8328,60200970,0.0000
A,2018-01-31,67.4200,75.0000,67.3400,73.4300,70.4783,36500580,0.0000
A,2017-12-29,69.1900,70.0000,65.6010,66.9700,64.2780,35125860,0.1490
A,2017-11-30,68.2000,70.9300,66.2500,69.2400,66.3092,40167741,0.0000
A,2017-10-31,64.2900,68.5200,64.2100,68.0300,65.1504,31006274,0.1320
A,2017-09-29,64.9000,66.4500,63.7200,64.2000,61.3577,27623240,0.0000
A,2017-08-31,60.0400,64.8300,58.2200,64.7200,61.8546,43037415,0.0000
A,2017-07-31,59.5900,61.8400,59.0700,59.7900,57.1429,32045730,0.0000
A,2017-06-30,60.0100,61.1500,57.9200,59.3100,56.6842,42688076,0.1320
A,2017-05-31,55.5000,60.8100,55.3600,60.3400,57.5394,50601404,0.0000
A,2017-04-28,52.9000,55.5050,52.2600,55.0500,52.4949,32209358,0.0000
A,2017-03-31,51.6200,54.8200,50.8600,52.8700,50.4161,40891129,0.1320
A,2017-02-28,48.9300,51.9400,48.4700,51.3000,48.7971,39154971,0.0000
A,2017-01-31,45.9300,49.4800,45.7400,48.9700,46.5808,45136618,0.0000
A,2016-12-30,44.0800,46.9200,42.9200,45.5600,43.3372,34087627,0.1320
A,2016-11-30,43.7300,47.8000,43.1400,43.9800,41.7136,53250890,0.0000
A,2016-10-31,46.8200,48.1500,43.1100,43.5700,41.3248,37265914,0.0000
A,2016-09-30,47.0300,47.3900,44.4700,47.0900,44.6634,38865627,0.1150
A,2016-08-31,48.1100,48.6300,46.0900,46.9800,44.4505,45189192,0.0000
A,2016-07-29,44.3600,48.1750,43.3600,48.1100,45.5196,34720042,0.0000
A,2016-06-30,45.7500,46.6800,41.9800,44.3600,41.9715,52014373,0.1150
A,2016-05-31,41.2000,46.0000,40.3900,45.8900,43.3069,53550377,0.0000
A,2016-04-29,39.5600,41.9950,39.1700,40.9200,38.6167,34715404,0.1150
A,2016-03-31,37.6300,40.5800,37.6100,39.8500,37.4999,37119011,0.0000
A,2016-02-29,37.3700,38.1900,34.1500,37.3500,35.1473,53438324,0.0000
A,2016-01-29,41.0600,41.1900,36.0100,37.6500,35.4296,50735187,0.0000
A,2015-12-31,42.1600,42.4800,39.9000,41.8100,39.3443,59253076,0.1150
A,2015-11-30,37.8700,42.2000,36.5000,41.8200,39.2458,74666218,0.0000
A,2015-10-30,34.3200,38.1000,33.1150,37.7600,35.4357,52998194,0.0000
A,2015-09-30,35.3700,36.9900,33.2450,34.3300,32.2168,47105942,0.1000
A,2015-08-31,40.9200,41.3500,33.5700,36.3100,33.9763,56298559,0.0000
A,2015-07-31,38.8900,41.1400,38.6100,40.9500,38.3181,54239332,0.0000
A,2015-06-30,41.4300,41.4300,38.4800,38.5800,36.1004,58978868,0.1000
A,2015-05-29,41.4100,42.9300,40.8200,41.1900,38.4466,44097732,0.0000
A,2015-04-30,41.4600,43.5900,40.7200,41.3700,38.6146,47259122,0.0000
A,2015-03-31,42.3400,42.7400,40.3703,41.5500,38.7826,44856425,0.1000
A,2015-02-27,37.9000,42.4900,37.7100,42.2100,39.3031,52417376,0.0000
A,2015-01-30,41.1800,41.3100,37.6800,37.7700,35.1688,53090623,0.1000
A,2014-12-31,42.6900,42.7300,38.0900,40.9400,38.0268,48802476,0.0000
A,2014-11-28,39.9000,42.9850,39.4900,42.7400,39.6987,56373340,15.7500
A,2014-10-31,56.8500,57.1600,49.8000,55.2800,37.0558,59673703,0.0000
A,2014-09-30,57.2300,59.4000,55.9200,56.9800,38.1953,36202868,0.1320
A,2014-08-29,55.7700,59.0600,54.1890,57.1600,38.2267,36928137,0.0000
